compound,dose_uM,rep,viability_pct
X1,0.001,1,100.76
X1,0.001,2,100.62
X1,0.001,3,99.94
X1,0.003,1,97.32
X1,0.003,2,97.24
X1,0.003,3,94.90
X1,0.01,1,84.30
X1,0.01,2,86.15
X1,0.01,3,89.11
X1,0.03,1,69.40
X1,0.03,2,67.79
X1,0.03,3,68.02
X1,0.1,1,32.66
X1,0.1,2,32.42
X1,0.1,3,30.88
X1,0.3,1,12.75
X1,0.3,2,15.75
X1,0.3,3,9.45
X1,1,1,0.59
X1,1,2,8.55
X1,1,3,3.41
X1,3,1,3.64
X1,3,2,3.35
X1,3,3,0.00
X2,0.001,1,107.18
X2,0.001,2,105.20
X2,0.001,3,100.41
X2,0.003,1,101.69
X2,0.003,2,99.81
X2,0.003,3,96.78
X2,0.01,1,96.67
X2,0.01,2,98.13
X2,0.01,3,100.36
X2,0.03,1,89.57
X2,0.03,2,87.62
X2,0.03,3,91.51
X2,0.1,1,54.06
X2,0.1,2,58.73
X2,0.1,3,59.68
X2,0.3,1,20.83
X2,0.3,2,16.34
X2,0.3,3,18.99
X2,1,1,5.60
X2,1,2,6.47
X2,1,3,9.53
X2,3,1,0.00
X2,3,2,1.10
X2,3,3,3.04
X3,0.001,1,99.19
X3,0.001,2,92.56
X3,0.001,3,102.09
X3,0.003,1,105.95
X3,0.003,2,102.02
X3,0.003,3,96.26
X3,0.01,1,95.54
X3,0.01,2,97.44
X3,0.01,3,104.24
X3,0.03,1,92.76
X3,0.03,2,91.25
X3,0.03,3,95.58
X3,0.1,1,74.75
X3,0.1,2,80.58
X3,0.1,3,72.94
X3,0.3,1,48.58
X3,0.3,2,52.16
X3,0.3,3,54.27
X3,1,1,25.04
X3,1,2,23.98
X3,1,3,17.61
X3,3,1,6.95
X3,3,2,7.26
X3,3,3,7.49
X4,0.001,1,101.74
X4,0.001,2,98.98
X4,0.001,3,102.35
X4,0.003,1,100.18
X4,0.003,2,98.94
X4,0.003,3,100.29
X4,0.01,1,100.98
X4,0.01,2,102.27
X4,0.01,3,98.26
X4,0.03,1,98.02
X4,0.03,2,94.63
X4,0.03,3,103.53
X4,0.1,1,98.53
X4,0.1,2,93.63
X4,0.1,3,92.73
X4,0.3,1,75.77
X4,0.3,2,79.99
X4,0.3,3,80.10
X4,1,1,51.28
X4,1,2,45.48
X4,1,3,42.40
X4,3,1,8.92
X4,3,2,20.48
X4,3,3,16.82
X5,0.001,1,95.15
X5,0.001,2,100.52
X5,0.001,3,95.15
X5,0.003,1,110.37
X5,0.003,2,103.28
X5,0.003,3,101.64
X5,0.01,1,99.20
X5,0.01,2,93.30
X5,0.01,3,99.34
X5,0.03,1,94.41
X5,0.03,2,100.86
X5,0.03,3,92.66
X5,0.1,1,93.88
X5,0.1,2,100.27
X5,0.1,3,101.54
X5,0.3,1,85.93
X5,0.3,2,84.88
X5,0.3,3,92.12
X5,1,1,71.90
X5,1,2,66.38
X5,1,3,67.26
X5,3,1,38.23
X5,3,2,36.75
X5,3,3,38.27
X6,0.001,1,103.73
X6,0.001,2,102.05
X6,0.001,3,106.15
X6,0.003,1,99.67
X6,0.003,2,99.53
X6,0.003,3,96.99
X6,0.01,1,99.41
X6,0.01,2,95.84
X6,0.01,3,94.45
X6,0.03,1,101.43
X6,0.03,2,103.66
X6,0.03,3,101.85
X6,0.1,1,101.82
X6,0.1,2,98.58
X6,0.1,3,95.67
X6,0.3,1,94.01
X6,0.3,2,92.63
X6,0.3,3,90.42
X6,1,1,76.74
X6,1,2,77.37
X6,1,3,81.80
X6,3,1,60.45
X6,3,2,58.58
X6,3,3,64.29
