compound,metric,rep,value
X1,CL_int_mL_min_kg,0,12.39
X1,CL_int_mL_min_kg,1,13.26
X1,CL_int_mL_min_kg,2,14.63
X1,CL_int_mL_min_kg,3,10.23
X1,CL_int_mL_min_kg,4,7.75
X1,CL_int_mL_min_kg,5,13.63
X1,CL_int_mL_min_kg,6,10.51
X1,CL_int_mL_min_kg,7,14.83
X2,CL_int_mL_min_kg,0,19.09
X2,CL_int_mL_min_kg,1,21.26
X2,CL_int_mL_min_kg,2,20.47
X2,CL_int_mL_min_kg,3,11.26
X2,CL_int_mL_min_kg,4,20.33
X2,CL_int_mL_min_kg,5,15.82
X2,CL_int_mL_min_kg,6,15.55
X2,CL_int_mL_min_kg,7,16.59
X3,CL_int_mL_min_kg,0,39.84
X3,CL_int_mL_min_kg,1,40.57
X3,CL_int_mL_min_kg,2,41.37
X3,CL_int_mL_min_kg,3,24.54
X3,CL_int_mL_min_kg,4,31.28
X3,CL_int_mL_min_kg,5,20.03
X3,CL_int_mL_min_kg,6,34.36
X3,CL_int_mL_min_kg,7,38.78
X1,Vd_L_kg,0,1.03
X1,Vd_L_kg,1,1.25
X1,Vd_L_kg,2,1.25
X1,Vd_L_kg,3,1.42
X1,Vd_L_kg,4,1.02
X1,Vd_L_kg,5,1.02
X1,Vd_L_kg,6,1.04
X1,Vd_L_kg,7,1.58
X2,Vd_L_kg,0,2.51
X2,Vd_L_kg,1,2.05
X2,Vd_L_kg,2,2.19
X2,Vd_L_kg,3,2.14
X2,Vd_L_kg,4,2.18
X2,Vd_L_kg,5,2.02
X2,Vd_L_kg,6,1.97
X2,Vd_L_kg,7,1.63
X3,Vd_L_kg,0,3.01
X3,Vd_L_kg,1,4.41
X3,Vd_L_kg,2,3.73
X3,Vd_L_kg,3,3.44
X3,Vd_L_kg,4,3.27
X3,Vd_L_kg,5,3.44
X3,Vd_L_kg,6,3.62
X3,Vd_L_kg,7,3.00
X1,F_pct,0,77.65
X1,F_pct,1,78.24
X1,F_pct,2,64.89
X1,F_pct,3,64.35
X1,F_pct,4,61.51
X1,F_pct,5,60.64
X1,F_pct,6,87.01
X1,F_pct,7,43.14
X2,F_pct,0,59.02
X2,F_pct,1,55.18
X2,F_pct,2,55.08
X2,F_pct,3,63.09
X2,F_pct,4,74.59
X2,F_pct,5,62.85
X2,F_pct,6,60.43
X2,F_pct,7,55.17
X3,F_pct,0,39.07
X3,F_pct,1,46.57
X3,F_pct,2,37.16
X3,F_pct,3,31.75
X3,F_pct,4,30.90
X3,F_pct,5,32.03
X3,F_pct,6,29.99
X3,F_pct,7,47.91
X1,t_half_h,0,4.47
X1,t_half_h,1,4.02
X1,t_half_h,2,5.30
X1,t_half_h,3,3.70
X1,t_half_h,4,4.77
X1,t_half_h,5,4.81
X1,t_half_h,6,3.03
X1,t_half_h,7,3.02
X2,t_half_h,0,2.58
X2,t_half_h,1,3.61
X2,t_half_h,2,3.82
X2,t_half_h,3,2.42
X2,t_half_h,4,3.69
X2,t_half_h,5,2.89
X2,t_half_h,6,2.88
X2,t_half_h,7,2.79
X3,t_half_h,0,1.70
X3,t_half_h,1,1.21
X3,t_half_h,2,1.48
X3,t_half_h,3,1.40
X3,t_half_h,4,1.96
X3,t_half_h,5,2.48
X3,t_half_h,6,2.69
X3,t_half_h,7,1.69
