organ,group,mouse,toxicity_score
Heart,Vehicle,1,1.19
Heart,Vehicle,2,1.05
Heart,Vehicle,3,1.11
Heart,Vehicle,4,1.06
Heart,Vehicle,5,1.15
Heart,Vehicle,6,1.23
Heart,Vehicle,7,1.03
Heart,Vehicle,8,0.94
Heart,Low,1,1.13
Heart,Low,2,1.52
Heart,Low,3,1.56
Heart,Low,4,1.50
Heart,Low,5,1.47
Heart,Low,6,1.47
Heart,Low,7,1.30
Heart,Low,8,1.43
Heart,High,1,1.39
Heart,High,2,1.56
Heart,High,3,1.45
Heart,High,4,1.75
Heart,High,5,1.48
Heart,High,6,1.58
Heart,High,7,1.68
Heart,High,8,1.87
Liver,Vehicle,1,0.74
Liver,Vehicle,2,0.71
Liver,Vehicle,3,1.06
Liver,Vehicle,4,0.68
Liver,Vehicle,5,0.99
Liver,Vehicle,6,0.79
Liver,Vehicle,7,0.88
Liver,Vehicle,8,0.54
Liver,Low,1,1.24
Liver,Low,2,1.00
Liver,Low,3,0.92
Liver,Low,4,1.52
Liver,Low,5,1.24
Liver,Low,6,1.80
Liver,Low,7,1.18
Liver,Low,8,1.03
Liver,High,1,1.82
Liver,High,2,2.12
Liver,High,3,1.79
Liver,High,4,1.89
Liver,High,5,1.90
Liver,High,6,1.62
Liver,High,7,1.83
Liver,High,8,1.70
Kidney,Vehicle,1,0.75
Kidney,Vehicle,2,1.17
Kidney,Vehicle,3,1.13
Kidney,Vehicle,4,1.01
Kidney,Vehicle,5,0.82
Kidney,Vehicle,6,0.60
Kidney,Vehicle,7,1.10
Kidney,Vehicle,8,0.98
Kidney,Low,1,0.86
Kidney,Low,2,1.19
Kidney,Low,3,0.90
Kidney,Low,4,1.19
Kidney,Low,5,1.23
Kidney,Low,6,1.27
Kidney,Low,7,1.24
Kidney,Low,8,1.23
Kidney,High,1,1.17
Kidney,High,2,1.32
Kidney,High,3,1.30
Kidney,High,4,1.35
Kidney,High,5,1.45
Kidney,High,6,1.52
Kidney,High,7,1.73
Kidney,High,8,0.89
Brain,Vehicle,1,0.88
Brain,Vehicle,2,0.76
Brain,Vehicle,3,1.26
Brain,Vehicle,4,0.99
Brain,Vehicle,5,0.47
Brain,Vehicle,6,0.88
Brain,Vehicle,7,0.70
Brain,Vehicle,8,1.00
Brain,Low,1,0.79
Brain,Low,2,0.98
Brain,Low,3,0.97
Brain,Low,4,0.98
Brain,Low,5,0.88
Brain,Low,6,0.63
Brain,Low,7,1.09
Brain,Low,8,1.20
Brain,High,1,1.19
Brain,High,2,1.00
Brain,High,3,1.24
Brain,High,4,1.31
Brain,High,5,1.16
Brain,High,6,1.20
Brain,High,7,1.48
Brain,High,8,0.98
Lung,Vehicle,1,0.89
Lung,Vehicle,2,0.62
Lung,Vehicle,3,0.86
Lung,Vehicle,4,0.85
Lung,Vehicle,5,0.81
Lung,Vehicle,6,0.86
Lung,Vehicle,7,1.36
Lung,Vehicle,8,0.96
Lung,Low,1,1.08
Lung,Low,2,1.54
Lung,Low,3,1.09
Lung,Low,4,0.75
Lung,Low,5,1.18
Lung,Low,6,0.91
Lung,Low,7,1.43
Lung,Low,8,0.85
Lung,High,1,1.18
Lung,High,2,0.98
Lung,High,3,1.32
Lung,High,4,1.10
Lung,High,5,1.29
Lung,High,6,1.22
Lung,High,7,1.18
Lung,High,8,1.49
