compound,dose_uM,rep,viability_pct
X1,0.001,0,96.98
X1,0.001,1,97.96
X1,0.001,2,104.10
X1,0.003,0,97.00
X1,0.003,1,94.75
X1,0.003,2,99.44
X1,0.01,0,86.74
X1,0.01,1,91.55
X1,0.01,2,87.00
X1,0.03,0,62.30
X1,0.03,1,72.72
X1,0.03,2,68.87
X1,0.1,0,30.84
X1,0.1,1,30.00
X1,0.1,2,26.13
X1,0.3,0,8.64
X1,0.3,1,6.44
X1,0.3,2,13.22
X1,1,0,6.55
X1,1,1,1.67
X1,1,2,1.14
X1,3,0,1.98
X1,3,1,0.71
X1,3,2,2.44
X2,0.001,0,101.28
X2,0.001,1,101.01
X2,0.001,2,101.72
X2,0.003,0,95.70
X2,0.003,1,101.10
X2,0.003,2,92.47
X2,0.01,0,95.53
X2,0.01,1,94.29
X2,0.01,2,96.36
X2,0.03,0,83.48
X2,0.03,1,84.82
X2,0.03,2,78.39
X2,0.1,0,53.77
X2,0.1,1,52.90
X2,0.1,2,56.58
X2,0.3,0,25.56
X2,0.3,1,23.52
X2,0.3,2,23.29
X2,1,0,4.97
X2,1,1,6.81
X2,1,2,8.58
X2,3,0,4.21
X2,3,1,1.51
X2,3,2,0.00
X3,0.001,0,97.19
X3,0.001,1,102.05
X3,0.001,2,96.49
X3,0.003,0,98.40
X3,0.003,1,92.22
X3,0.003,2,102.26
X3,0.01,0,98.36
X3,0.01,1,96.18
X3,0.01,2,97.53
X3,0.03,0,95.83
X3,0.03,1,93.59
X3,0.03,2,94.61
X3,0.1,0,78.76
X3,0.1,1,75.01
X3,0.1,2,73.28
X3,0.3,0,52.96
X3,0.3,1,48.13
X3,0.3,2,53.47
X3,1,0,22.54
X3,1,1,17.45
X3,1,2,16.90
X3,3,0,4.06
X3,3,1,10.96
X3,3,2,5.87
