compound,metric,rep,value
X1,CL_int,0,11.33
X1,CL_int,1,13.91
X1,CL_int,2,9.81
X1,CL_int,3,10.58
X1,CL_int,4,10.60
X1,CL_int,5,11.79
X1,CL_int,6,9.00
X1,CL_int,7,10.46
X2,CL_int,0,18.33
X2,CL_int,1,14.48
X2,CL_int,2,14.38
X2,CL_int,3,19.29
X2,CL_int,4,14.42
X2,CL_int,5,17.17
X2,CL_int,6,20.53
X2,CL_int,7,18.19
X3,CL_int,0,46.75
X3,CL_int,1,34.10
X3,CL_int,2,24.70
X3,CL_int,3,37.14
X3,CL_int,4,36.20
X3,CL_int,5,39.82
X3,CL_int,6,25.29
X3,CL_int,7,33.92
X1,Vd_L_kg,0,1.44
X1,Vd_L_kg,1,1.24
X1,Vd_L_kg,2,1.45
X1,Vd_L_kg,3,1.03
X1,Vd_L_kg,4,1.30
X1,Vd_L_kg,5,1.20
X1,Vd_L_kg,6,1.55
X1,Vd_L_kg,7,0.98
X2,Vd_L_kg,0,2.56
X2,Vd_L_kg,1,2.18
X2,Vd_L_kg,2,2.12
X2,Vd_L_kg,3,1.83
X2,Vd_L_kg,4,1.66
X2,Vd_L_kg,5,1.51
X2,Vd_L_kg,6,2.21
X2,Vd_L_kg,7,1.72
X3,Vd_L_kg,0,4.11
X3,Vd_L_kg,1,3.67
X3,Vd_L_kg,2,3.69
X3,Vd_L_kg,3,4.10
X3,Vd_L_kg,4,3.33
X3,Vd_L_kg,5,3.96
X3,Vd_L_kg,6,2.31
X3,Vd_L_kg,7,3.09
X1,F_pct,0,88.60
X1,F_pct,1,72.87
X1,F_pct,2,97.46
X1,F_pct,3,76.05
X1,F_pct,4,62.91
X1,F_pct,5,94.25
X1,F_pct,6,76.71
X1,F_pct,7,71.92
X2,F_pct,0,60.90
X2,F_pct,1,52.93
X2,F_pct,2,57.62
X2,F_pct,3,71.06
X2,F_pct,4,53.91
X2,F_pct,5,60.01
X2,F_pct,6,52.90
X2,F_pct,7,62.32
X3,F_pct,0,43.87
X3,F_pct,1,43.85
X3,F_pct,2,37.39
X3,F_pct,3,34.37
X3,F_pct,4,42.11
X3,F_pct,5,46.54
X3,F_pct,6,44.71
X3,F_pct,7,60.24
