treatment,time_h,rep,engagement_pct
CompoundX,0,0,5.13
CompoundX,0,1,4.44
CompoundX,0,2,4.71
CompoundX,0,3,6.03
CompoundX,0,4,4.02
CompoundX,0,5,4.83
CompoundX,1,0,33.72
CompoundX,1,1,43.33
CompoundX,1,2,49.89
CompoundX,1,3,52.12
CompoundX,1,4,49.27
CompoundX,1,5,52.17
CompoundX,3,0,71.15
CompoundX,3,1,99.74
CompoundX,3,2,102.05
CompoundX,3,3,59.56
CompoundX,3,4,66.13
CompoundX,3,5,89.16
CompoundX,6,0,83.68
CompoundX,6,1,90.47
CompoundX,6,2,77.08
CompoundX,6,3,63.31
CompoundX,6,4,66.75
CompoundX,6,5,92.06
CompoundX,12,0,55.03
CompoundX,12,1,40.21
CompoundX,12,2,53.52
CompoundX,12,3,60.97
CompoundX,12,4,54.98
CompoundX,12,5,60.37
CompoundX,24,0,26.91
CompoundX,24,1,25.08
CompoundX,24,2,21.02
CompoundX,24,3,25.18
CompoundX,24,4,27.81
CompoundX,24,5,22.66
Vehicle,0,0,6.11
Vehicle,0,1,7.03
Vehicle,0,2,5.82
Vehicle,0,3,5.40
Vehicle,0,4,5.08
Vehicle,0,5,4.12
Vehicle,1,0,9.93
Vehicle,1,1,7.56
Vehicle,1,2,7.14
Vehicle,1,3,10.24
Vehicle,1,4,9.27
Vehicle,1,5,7.32
Vehicle,3,0,10.44
Vehicle,3,1,10.55
Vehicle,3,2,11.30
Vehicle,3,3,7.14
Vehicle,3,4,8.53
Vehicle,3,5,7.87
Vehicle,6,0,12.36
Vehicle,6,1,10.73
Vehicle,6,2,12.83
Vehicle,6,3,15.52
Vehicle,6,4,13.02
Vehicle,6,5,10.37
Vehicle,12,0,8.93
Vehicle,12,1,9.54
Vehicle,12,2,6.56
Vehicle,12,3,10.67
Vehicle,12,4,9.34
Vehicle,12,5,10.13
Vehicle,24,0,8.33
Vehicle,24,1,7.30
Vehicle,24,2,8.46
Vehicle,24,3,7.58
Vehicle,24,4,5.90
Vehicle,24,5,7.06
