organ,group,mouse,toxicity_score
Heart,Vehicle,1,1.09
Heart,Vehicle,2,1.27
Heart,Vehicle,3,1.47
Heart,Vehicle,4,0.80
Heart,Vehicle,5,1.10
Heart,Vehicle,6,0.96
Heart,Vehicle,7,1.15
Heart,Vehicle,8,1.28
Heart,Low,1,1.64
Heart,Low,2,0.96
Heart,Low,3,1.34
Heart,Low,4,1.58
Heart,Low,5,1.14
Heart,Low,6,1.45
Heart,Low,7,1.40
Heart,Low,8,1.60
Heart,High,1,1.69
Heart,High,2,1.14
Heart,High,3,1.39
Heart,High,4,1.62
Heart,High,5,1.54
Heart,High,6,1.52
Heart,High,7,1.85
Heart,High,8,1.36
Liver,Vehicle,1,0.93
Liver,Vehicle,2,1.10
Liver,Vehicle,3,0.51
Liver,Vehicle,4,0.93
Liver,Vehicle,5,0.85
Liver,Vehicle,6,0.76
Liver,Vehicle,7,1.34
Liver,Vehicle,8,0.76
Liver,Low,1,1.25
Liver,Low,2,0.92
Liver,Low,3,0.90
Liver,Low,4,1.13
Liver,Low,5,1.33
Liver,Low,6,1.07
Liver,Low,7,1.22
Liver,Low,8,1.07
Liver,High,1,2.02
Liver,High,2,1.84
Liver,High,3,1.85
Liver,High,4,1.95
Liver,High,5,1.90
Liver,High,6,1.82
Liver,High,7,1.72
Liver,High,8,1.83
Kidney,Vehicle,1,0.92
Kidney,Vehicle,2,1.26
Kidney,Vehicle,3,0.99
Kidney,Vehicle,4,1.17
Kidney,Vehicle,5,0.89
Kidney,Vehicle,6,1.11
Kidney,Vehicle,7,0.68
Kidney,Vehicle,8,0.87
Kidney,Low,1,1.44
Kidney,Low,2,1.25
Kidney,Low,3,0.76
Kidney,Low,4,1.10
Kidney,Low,5,1.15
Kidney,Low,6,1.05
Kidney,Low,7,0.88
Kidney,Low,8,0.91
Kidney,High,1,1.73
Kidney,High,2,1.30
Kidney,High,3,1.55
Kidney,High,4,1.52
Kidney,High,5,1.22
Kidney,High,6,1.42
Kidney,High,7,1.41
Kidney,High,8,1.17
Brain,Vehicle,1,0.82
Brain,Vehicle,2,0.80
Brain,Vehicle,3,0.83
Brain,Vehicle,4,0.71
Brain,Vehicle,5,0.69
Brain,Vehicle,6,0.79
Brain,Vehicle,7,0.60
Brain,Vehicle,8,0.99
Brain,Low,1,1.06
Brain,Low,2,0.99
Brain,Low,3,0.93
Brain,Low,4,1.06
Brain,Low,5,1.00
Brain,Low,6,0.89
Brain,Low,7,1.12
Brain,Low,8,1.34
Brain,High,1,1.60
Brain,High,2,1.32
Brain,High,3,1.12
Brain,High,4,1.86
Brain,High,5,1.27
Brain,High,6,1.26
Brain,High,7,1.03
Brain,High,8,1.23
