cancer_type,compound,mouse,tumor_volume_pct
Melanoma,CompoundX,1,82.4
Melanoma,CompoundX,2,56.1
Melanoma,CompoundX,3,67.6
Melanoma,CompoundX,4,62.9
Melanoma,CompoundX,5,58.0
Melanoma,CompoundX,6,60.4
Melanoma,CompoundX,7,60.8
Melanoma,CompoundX,8,64.2
Melanoma,Vehicle,1,-0.2
Melanoma,Vehicle,2,4.9
Melanoma,Vehicle,3,-1.7
Melanoma,Vehicle,4,5.4
Melanoma,Vehicle,5,0.1
Melanoma,Vehicle,6,-2.7
Melanoma,Vehicle,7,-5.3
Melanoma,Vehicle,8,-11.4
NSCLC,CompoundX,1,42.0
NSCLC,CompoundX,2,54.0
NSCLC,CompoundX,3,53.3
NSCLC,CompoundX,4,57.1
NSCLC,CompoundX,5,57.2
NSCLC,CompoundX,6,44.6
NSCLC,CompoundX,7,48.9
NSCLC,CompoundX,8,45.7
NSCLC,Vehicle,1,4.7
NSCLC,Vehicle,2,-4.1
NSCLC,Vehicle,3,-2.3
NSCLC,Vehicle,4,-10.4
NSCLC,Vehicle,5,-13.3
NSCLC,Vehicle,6,-7.9
NSCLC,Vehicle,7,-4.1
NSCLC,Vehicle,8,0.4
CRC,CompoundX,1,37.4
CRC,CompoundX,2,52.1
CRC,CompoundX,3,42.7
CRC,CompoundX,4,45.3
CRC,CompoundX,5,46.8
CRC,CompoundX,6,46.0
CRC,CompoundX,7,53.1
CRC,CompoundX,8,56.4
CRC,Vehicle,1,-0.4
CRC,Vehicle,2,-7.3
CRC,Vehicle,3,0.2
CRC,Vehicle,4,-0.1
CRC,Vehicle,5,3.7
CRC,Vehicle,6,-0.9
CRC,Vehicle,7,-15.8
CRC,Vehicle,8,-9.1
Glioma,CompoundX,1,26.3
Glioma,CompoundX,2,36.7
Glioma,CompoundX,3,28.4
Glioma,CompoundX,4,36.6
Glioma,CompoundX,5,31.7
Glioma,CompoundX,6,20.1
Glioma,CompoundX,7,29.8
Glioma,CompoundX,8,33.8
Glioma,Vehicle,1,1.1
Glioma,Vehicle,2,-13.8
Glioma,Vehicle,3,1.3
Glioma,Vehicle,4,-6.7
Glioma,Vehicle,5,-18.7
Glioma,Vehicle,6,-6.6
Glioma,Vehicle,7,-17.6
Glioma,Vehicle,8,-12.1
