treatment,time_h,rep,engagement_pct
CompoundX,0,0,5.59
CompoundX,0,1,3.78
CompoundX,0,2,4.25
CompoundX,0,3,4.52
CompoundX,0,4,5.29
CompoundX,0,5,5.33
CompoundX,1,0,47.85
CompoundX,1,1,41.41
CompoundX,1,2,39.72
CompoundX,1,3,47.62
CompoundX,1,4,38.91
CompoundX,1,5,39.31
CompoundX,3,0,88.13
CompoundX,3,1,70.05
CompoundX,3,2,68.74
CompoundX,3,3,93.29
CompoundX,3,4,79.11
CompoundX,3,5,52.67
CompoundX,6,0,66.11
CompoundX,6,1,96.72
CompoundX,6,2,106.75
CompoundX,6,3,71.28
CompoundX,6,4,82.57
CompoundX,6,5,82.98
CompoundX,12,0,57.34
CompoundX,12,1,39.62
CompoundX,12,2,63.02
CompoundX,12,3,57.03
CompoundX,12,4,52.75
CompoundX,12,5,41.28
CompoundX,24,0,22.48
CompoundX,24,1,24.44
CompoundX,24,2,23.91
CompoundX,24,3,25.72
CompoundX,24,4,23.41
CompoundX,24,5,28.63
Vehicle,0,0,5.59
Vehicle,0,1,3.80
Vehicle,0,2,4.35
Vehicle,0,3,5.39
Vehicle,0,4,4.41
Vehicle,0,5,6.37
Vehicle,1,0,7.30
Vehicle,1,1,8.25
Vehicle,1,2,8.68
Vehicle,1,3,6.59
Vehicle,1,4,9.46
Vehicle,1,5,7.70
Vehicle,3,0,8.87
Vehicle,3,1,8.89
Vehicle,3,2,7.39
Vehicle,3,3,7.89
Vehicle,3,4,12.19
Vehicle,3,5,9.74
Vehicle,6,0,11.41
Vehicle,6,1,12.27
Vehicle,6,2,12.96
Vehicle,6,3,10.49
Vehicle,6,4,11.54
Vehicle,6,5,12.42
Vehicle,12,0,10.31
Vehicle,12,1,9.29
Vehicle,12,2,11.19
Vehicle,12,3,8.65
Vehicle,12,4,8.49
Vehicle,12,5,7.06
Vehicle,24,0,6.91
Vehicle,24,1,7.63
Vehicle,24,2,6.70
Vehicle,24,3,6.77
Vehicle,24,4,5.93
Vehicle,24,5,6.34
