group,mouse,time_days,event
Vehicle,1,30.3,1
Vehicle,2,14.3,1
Vehicle,3,31.2,1
Vehicle,4,31.4,1
Vehicle,5,5.0,1
Vehicle,6,24.9,0
Vehicle,7,25.1,1
Vehicle,8,32.2,1
Vehicle,9,30.1,1
Vehicle,10,33.0,0
Vehicle,11,5.8,1
Vehicle,12,12.4,1
Vehicle,13,30.5,1
Vehicle,14,32.9,1
Vehicle,15,22.7,1
Vehicle,16,25.8,1
Vehicle,17,24.4,1
Vehicle,18,16.6,1
Vehicle,19,31.6,1
Vehicle,20,29.4,1
CompoundX,1,38.1,1
CompoundX,2,75.2,1
CompoundX,3,77.0,1
CompoundX,4,92.9,0
CompoundX,5,79.7,1
CompoundX,6,35.7,1
CompoundX,7,56.7,1
CompoundX,8,29.2,1
CompoundX,9,84.1,1
CompoundX,10,51.7,1
CompoundX,11,53.4,1
CompoundX,12,81.1,1
CompoundX,13,43.5,1
CompoundX,14,41.1,1
CompoundX,15,36.1,1
CompoundX,16,77.3,1
CompoundX,17,54.5,0
CompoundX,18,68.8,1
CompoundX,19,57.7,1
CompoundX,20,67.0,1
